"ID","Category","Question","Answer","Status","ResponseTimeMs","Timestamp","ErrorMessage"
"1","إجازات","ابغى اعرف كيف اسوي طلب إجازة أمومة من البوابة؟","يمكن تسجيل طلب إجازة أمومة من خلال الخطوات التالية:

الدخول على البوابة.
اختيار خدمة (طلب إجازة).
اختيار نوع الإجازة (أمومة).
تعبئة بيانات الطلب المطلوبة.
إرفاق المستندات اللازمة (إن وجدت).
إرسال الطلب للموافقة.

المصدر: [الأسئلة الشائعة]","success","4933","2026-03-20T05:31:00.722Z",""
"2","إجازات","وش الفرق بين إجازة الوضع وإجازة الأمومة؟","إجازة الوضع هي إجازة تُمنح للموظفة عند ولادتها وتستحقها براتب كامل لمدة (سبعين) يوماً، وتبدأ بحد أقصى 28 يوماً قبل التاريخ المرجح للوضع بناءً على شهادة طبية.

أما إجازة الأمومة فهي إجازة يمكن للموظفة الحصول عليها بعد نهاية إجازة الوضع، وذلك إذا رغبت في التفرغ لرعاية مولودها. مدتها تصل إلى ثلاث سنوات كحد أقصى طوال فترة خدمتها، وتصرف بربع الراتب على ألا يقل ما يصرف عن (1500) ريال شهرياً، ويشترط أن تكون خلال الثلاث سنوات الأولى من عمر الطفل، ويمكن للجهة الحكومية تأجيل منح هذه الإجازة لمدة لا تتجاوز 90 يوماً إذا اقتضت مصلحة العمل ذلك.

باختصار:

إجازة الوضع: تخص فترة الولادة ومدتها 70 يوماً براتب كامل.
إجازة الأمومة: تخص رعاية الطفل بعد الولادة وتصل لـ 3 سنوات بربع الراتب وفق ضوابط محددة.

المصدر: [دليل المستخدم] - hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf","success","5748","2026-03-20T05:31:08.484Z",""
"3","إجازات","كيف أقدم على إجازة وضع إذا كان موعد الولادة محدد؟","يمكن تسجيل طلب إجازة وضع إذا كان موعد الولادة محدد باتباع الخطوات التالية:

الدخول إلى رابط تقديم طلب إجازة
الضغط على زر جديد
اختيار نوع الإجازة: إجازة وضع
تسجيل التاريخ المتوقع للولادة
تعبئة الخانات والحفظ
تحميل المستندات

المصدر: [الأسئلة الشائعة]","success","4226","2026-03-20T05:31:14.728Z",""
"4","إجازات","طلعت إجازة وضع ولدت قبل الموعد وش أسوي؟","يمكن عمل تعديل لموعد البداية ليتوافق مع تاريخ الولادة في حال المباشرة قبل الموعد المقرر للإجازة وذلك من خلال أيقونة (تعديل الإجازة) وتغيير تاريخ البداية بما يتناسب مع تاريخ الولادة.

المصدر: [الأسئلة الشائعة]","success","2705","2026-03-20T05:31:19.448Z",""
"5","إجازات","أبي أعرف كيف أرفع مستندات إجازة الأمومة بعد ما سجلت الطلب؟","يمكنك رفع مستندات إجازة الأمومة بعد تسجيل الطلب من خلال الخطوات التالية:

الدخول إلى رابط تقديم طلب إجازة.
الضغط على زر جديد.
اختيار نوع الإجازة: إجازة أمومة.
تعبئة الخانات والحفظ.
تحميل المستندات.

المصدر: [الأسئلة الشائعة]","success","4200","2026-03-20T05:31:25.662Z",""
"6","إجازات","كم مدة إجازة الوضع في النظام؟","مدة إجازة الوضع في النظام هي عشرة أسابيع، بحيث تبدأ بحد أقصى أربعة أسابيع قبل التاريخ المتوقع للوضع، ويُصرف للموظفة خلالها راتبها كاملًا. يجوز للموظفة توزيع مدة الإجازة بالشكل الذي ترغب به قبل وبعد الوضع، بشرط ألا تتجاوز المدة الإجمالية عشرة أسابيع.

المصدر: [دليل المستخدم] - HRSD-Regulations.pdf","success","3192","2026-03-20T05:31:30.865Z",""
"7","إجازات","هل تنحسب إجازة الوضع براتب كامل ولا لا؟","تستحق الموظفة إجازة وضع بكامل الراتب ومدتها (سبعين) يوماً توزعها كيف تشاء، تبدأ بحد أقصى بثمانية وعشرين يوماً قبل التاريخ المرجح للوضع، ويحدد التاريخ المرجح للوضع بموجب شهادة طبية مصدقة من جهة صحية.

المصدر: [دليل المستخدم] - hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf","success","3693","2026-03-20T05:31:36.568Z",""
"8","استعلامات","ابغى أتأكد من رصيد إجازاتي من البوابة كيف الطريقة؟","يمكنك الاستعلام عن رصيد الإجازات من خلال الخطوات التالية:

الدخول على البوابة.
الضغط على أيقونة الموارد البشرية.
الضغط على أيقونة الإجازات.
الضغط على استعلام رصيد الإجازات.

المصدر: [الأسئلة الشائعة]","success","2664","2026-03-20T05:31:41.243Z",""
"9","إجازات","ليش النظام رفض حفظ الإجازة يقول الرصيد ما يكفي؟","يظهر هذا التنبيه عندما لا يتوفر لديك رصيد كافٍ من نوع الإجازة المطلوب، ولا يمكنك حفظ الطلب أو إرساله إلا عند توفر الرصيد الكافي.

المصدر: [الأسئلة الشائعة]","success","3171","2026-03-20T05:31:46.427Z",""
"10","إجازات","كم عدد أيام الإجازة العادية المسموحة بالسنة؟","يستحق الموظف إجازة عادية مدتها (ستة وثلاثون) يوماً عن كل سنة من سنوات خدمته براتب كامل حسب آخر راتب تقاضاه. كما يجوز للموظف طلب التمتع برصيده من الإجازات العادية المستحقة له بما لا يتجاوز (مائة وثمانية) أيام خلال السنة، واستثناء من ذلك، يجوز للموظف الذي بلغت خدمته لغرض التقاعد (خمسة وعشرين) عاماً فأكثر أو بلغ من العمر (خمسين) عاماً فأكثر التمتع برصيده من الإجازات العادية المستحقة له بما لا يتجاوز (مائة وأربعة وأربعين) يوماً خلال السنة.

المصدر: [دليل المستخدم] - hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf","success","6766","2026-03-20T05:31:55.205Z",""
"11","إجازات","وش سالفة الإجازة الاضطرارية كم يوم وكم راتبها؟","الإجازة الاضطرارية مدتها خمسة أيام في السنة وتُصرف براتب كامل.

المصدر: [دليل المستخدم] - HRSD-Regulations.pdf","success","3672","2026-03-20T05:32:00.890Z",""
