"ID","Category","Question","Answer","Status","ResponseTimeMs","Timestamp","ErrorMessage"
"1","إجازات","ابغى اعرف كيف اسوي طلب إجازة أمومة من البوابة؟","يمكن تسجيل طلب إجازة أمومة عن طريق البوابة من خلال الخطوات التالية:

الدخول على البوابة.
اختيار خدمة (طلبات الإجازة).
الضغط على (طلب جديد).
اختيار نوع الإجازة (إجازة أمومة).
تعبئة البيانات المطلوبة وإرفاق المستندات اللازمة.
الضغط على (حفظ) ثم (إرسال).

المصدر: [الأسئلة الشائعة]","success","14711","2026-04-13T20:36:23.567Z",""
"2","إجازات","وش الفرق بين إجازة الوضع وإجازة الأمومة؟","إجازة الوضع هي إجازة تمنح للموظفة عند الولادة، وتكون مدتها 70 يوماً بكامل الراتب، ويمكن توزيع هذه المدة كما تشاء الموظفة على ألا تبدأ بأكثر من 28 يوماً قبل التاريخ المتوقع للولادة، ويُحدد ذلك بتقرير طبي مصدق من جهة صحية.

أما إجازة الأمومة فهي إجازة يمكن أن تحصل عليها الموظفة لرعاية مولودها بعد انتهاء إجازة الوضع مباشرة، وتصل مدتها إلى ثلاث سنوات كحد أقصى طوال الخدمة الوظيفية وبربع الراتب، على ألا يقل ما يُصرف لها عن 1500 ريال شهرياً، ويتم منح هذه الإجازة خلال الثلاث سنوات الأولى من عمر الطفل وبشروط محددة. أيضاً، للجهة الحكومية الحق في تأجيل منح هذه الإجازة لمدة لا تتجاوز 90 يوماً إذا اقتضت مصلحة العمل ذلك، ويمكن تمديد الإجازة ضمن الحد الأقصى وبعد موافقة الجهة الحكومية.

باختصار:

إجازة الوضع: مخصصة لفترة الولادة (70 يوماً) وبراتب كامل.
إجازة الأمومة: لرعاية الطفل بعد الوضع، وتصل إلى 3 سنوات بربع الراتب، ضمن ضوابط محددة.

المصدر: [دليل المستخدم] - hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf","success","9379","2026-04-13T20:36:34.966Z",""
"3","إجازات","كيف أقدم على إجازة وضع إذا كان موعد الولادة محدد؟","يمكن تسجيل طلب إجازة وضع في حال كان موعد الولادة محدد عبر الخطوات التالية:

الدخول إلى رابط تقديم طلب إجازة.
الضغط على زر جديد.
اختيار نوع الإجازة: إجازة وضع.
تسجيل التاريخ المتوقع للولادة.
تعبئة الخانات والحفظ.
تحميل المستندات.

المصدر: [الأسئلة الشائعة]","success","5260","2026-04-13T20:36:42.240Z",""
"4","إجازات","طلعت إجازة وضع ولدت قبل الموعد وش أسوي؟","في حال ولادة الموظفة قبل الموعد المحدد في طلب إجازة الوضع، يجب عليها تعديل تاريخ بداية الإجازة في النظام ليتوافق مع تاريخ الولادة الفعلي، وذلك عبر التالي:


الدخول إلى النظام.
اختيار خدمة تعديل الإجازة المسجلة.
إدخال تاريخ الولادة الفعلي كتاريخ بداية للإجازة.
استكمال الإجراءات المطلوبة وحفظ الطلب بعد التعديل.

المصدر: [الأسئلة الشائعة]","success","3169","2026-04-13T20:36:47.424Z",""
"5","إجازات","أبي أعرف كيف أرفع مستندات إجازة الأمومة بعد ما سجلت الطلب؟","يمكنك رفع مستندات إجازة الأمومة باتباع الخطوات التالية:

الدخول الى رابط تقديم طلب اجازة
الضغط على زر جديد
اختيار نوع الاجازة: إجازة أمومة
تعبئة الخانات والحفظ
تحميل المستندات

المصدر: [الأسئلة الشائعة]","success","5210","2026-04-13T20:36:54.648Z",""
"6","إجازات","كم مدة إجازة الوضع في النظام؟","مدة إجازة الوضع في النظام هي سبعين (70) يوماً بكامل الراتب، ويمكن توزيعها كما تشاء الموظفة، على أن تبدأ بحد أقصى قبل التاريخ المرجح للوضع بثمانية وعشرين يوماً. يتم تحديد التاريخ المرجح للوضع بموجب شهادة طبية مصدقة من جهة صحية.

المصدر: [دليل المستخدم] - hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf","success","5246","2026-04-13T20:37:01.906Z",""
"7","إجازات","هل تنحسب إجازة الوضع براتب كامل ولا لا؟","تستحق الموظفة إجازة وضع بكامل الراتب ومدتها سبعين يوماً توزعها كيف تشاء، وتبدأ بحد أقصى بثمانية وعشرين يوماً قبل التاريخ المرجح للوضع، ويحدد ذلك بموجب شهادة طبية مصدقة من جهة صحية.

المصدر: [دليل المستخدم] - hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf","success","4210","2026-04-13T20:37:08.129Z",""
"8","استعلامات","ابغى أتأكد من رصيد إجازاتي من البوابة كيف الطريقة؟","يمكنك معرفة رصيد الإجازات المتبقي من خلال الدخول على صفحة ""طلب إجازة"" وستظهر لك تفاصيل الإجازات المختلفة والتي تشمل الرصيد المتبقي لكل نوع.

المصدر: [الأسئلة الشائعة]","success","3189","2026-04-13T20:37:13.333Z",""
"9","إجازات","ليش النظام رفض حفظ الإجازة يقول الرصيد ما يكفي؟","يظهر هذا التنبيه عند عدم توفر رصيد كافٍ من نوع الإجازة المطلوب تسجيلها، يجب التأكد من رصيد الإجازة قبل محاولة الحفظ.

المصدر: [الأسئلة الشائعة]","success","3180","2026-04-13T20:37:18.525Z",""
"10","إجازات","كم عدد أيام الإجازة العادية المسموحة بالسنة؟","يستحق الموظف إجازة عادية مدتها (ستة وثلاثون) يوماً عن كل سنة من سنوات خدمته براتب كامل حسب آخر راتب تقاضاه. ويجوز للموظف طلب التمتع برصيده من الإجازات العادية المستحقة له بما لا يتجاوز (مائة وثمانية) أيام خلال السنة، واستثناءً يمكن لمن أكمل خمسًا وعشرين سنة خدمة محسوبة لغرض التقاعد أو بلغ سن الخمسين عامًا فأكثر التمتع برصيد لا يتجاوز (مائة وأربعة وأربعين) يومًا خلال السنة.

المصدر: [دليل المستخدم] - hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf","success","5217","2026-04-13T20:37:25.755Z",""
