"ID","Category","Question","Answer","Status","ResponseTimeMs","Timestamp","ErrorMessage"
"1","إجازات","ابغى اعرف كيف اسوي طلب إجازة أمومة من البوابة؟","يمكن تسجيل طلب إجازة أمومة من خلال بوابة الخدمات، وذلك باتباع الخطوات التالية:


الدخول على بوابة الخدمات.
اختيار ""إدارة الإجازات"" من القائمة الرئيسية.
الضغط على ""تقديم طلب إجازة جديدة"".
اختيار نوع الإجازة ""إجازة أمومة"".
تعبئة البيانات المطلوبة مثل تاريخ بدء الإجازة والمرفقات (شهادة الحمل أو تقرير طبي).
التأكد من صحة البيانات ثم الضغط على ""إرسال الطلب"".
ستتم مراجعة الطلب والموافقة عليه من قبل الإدارة المختصة.

المصدر: [الأسئلة الشائعة]","success","23922","2026-03-30T07:03:49.034Z",""
"2","إجازات","وش الفرق بين إجازة الوضع وإجازة الأمومة؟","Sorry, I encountered an error. Please try again.","success","4231","2026-03-30T07:03:55.285Z",""
"3","إجازات","كيف أقدم على إجازة وضع إذا كان موعد الولادة محدد؟","Sorry, I encountered an error. Please try again.","success","3164","2026-03-30T07:04:00.465Z",""
"4","إجازات","طلعت إجازة وضع ولدت قبل الموعد وش أسوي؟","Sorry, I encountered an error. Please try again.","success","2652","2026-03-30T07:04:05.129Z",""
"5","إجازات","أبي أعرف كيف أرفع مستندات إجازة الأمومة بعد ما سجلت الطلب؟","Sorry, I encountered an error. Please try again.","success","3661","2026-03-30T07:04:10.800Z",""
"6","إجازات","كم مدة إجازة الوضع في النظام؟","Sorry, I encountered an error. Please try again.","success","4178","2026-03-30T07:04:16.992Z",""
"7","إجازات","هل تنحسب إجازة الوضع براتب كامل ولا لا؟","Sorry, I encountered an error. Please try again.","success","3171","2026-03-30T07:04:22.176Z",""
"8","استعلامات","ابغى أتأكد من رصيد إجازاتي من البوابة كيف الطريقة؟","يمكن الاستعلام عن رصيد الإجازات من خلال الخطوات التالية:

الدخول على البوابة.
اختيار “الصفحة الشخصية”.
الضغط على أيقونة “رصيد الإجازات”.

المصدر: [الأسئلة الشائعة]","success","3161","2026-03-30T07:04:27.350Z",""
"9","إجازات","ليش النظام رفض حفظ الإجازة يقول الرصيد ما يكفي؟","يتم رفض طلب الإجازة إذا لم يكن لديك رصيد كافٍ من نوع الإجازة المطلوبة، حيث يجب التأكد من توفر الرصيد اللازم قبل تقديم الطلب. يمكنك الاستعلام عن رصيد الإجازات من خلال شاشة الاستعلام عن الرصيد في النظام.

المصدر: [الأسئلة الشائعة]","success","2669","2026-03-30T07:04:32.035Z",""
"10","إجازات","كم عدد أيام الإجازة العادية المسموحة بالسنة؟","Sorry, I encountered an error. Please try again.","success","4197","2026-03-30T07:04:38.244Z",""
"11","إجازات","وش سالفة الإجازة الاضطرارية كم يوم وكم راتبها؟","Sorry, I encountered an error. Please try again.","success","3169","2026-03-30T07:04:43.425Z",""
"12","بطاقة موظف","كيف أضيف مرافقين جدد لبطاقتي الوظيفية؟","يمكنك إضافة مرافقين جدد لبطاقتك الوظيفية من خلال الخطوات التالية:

الدخول على موقع المؤسسة العامة للتأمينات الاجتماعية.
اختيار ""تعديل بيانات البطاقة الوظيفية"".
إضافة بيانات المرافقين المطلوبين ومن ثم حفظ التعديلات.

المصدر: [الأسئلة الشائعة]","success","3671","2026-03-30T07:04:49.110Z",""
"13","بطاقة موظف","وش المستندات المطلوبة لتسجيل مولود جديد؟","Sorry, I encountered an error. Please try again.","success","2159","2026-03-30T07:04:53.280Z",""
"14","بطاقة موظف","أبي أعدل بياناتي الشخصية في النظام وين ألقى الشاشة؟","Sorry, I encountered an error. Please try again.","success","3159","2026-03-30T07:04:58.452Z",""
"15","بطاقة موظف","كيف أضيف مؤهل علمي جديد حصلت عليه؟","يمكنك إضافة مؤهل علمي جديد حصلت عليه بعد التعيين من خلال الدخول على خدمة تحديث البيانات الوظيفية عبر بوابة الموظفين ثم اتباع الخطوات التالية:

الدخول على خدمة تحديث البيانات الوظيفية.
اختيار المؤهلات العلمية من القائمة الجانبية.
الضغط على زر إضافة مؤهل علمي.
تعبئة بيانات المؤهل ورفع المستندات المطلوبة.
الضغط على زر حفظ وإرسال.

المصدر: [الأسئلة الشائعة]","success","3666","2026-03-30T07:05:04.132Z",""
"16","إجازات","وش الفرق بين إجازة الوفاة للرجال والنساء؟","Sorry, I encountered an error. Please try again.","success","2141","2026-03-30T07:05:08.284Z",""
"17","إجازات","كم يوم إجازة الأبوة للموظفين؟","Sorry, I encountered an error. Please try again.","success","3168","2026-03-30T07:05:13.465Z",""
"18","إجازات","توفي قريبي أبغى أقدم إجازة وفاة وش المطلوب؟","Sorry, I encountered an error. Please try again.","success","2654","2026-03-30T07:05:18.134Z",""
"19","استعلامات","كيف أتأكد من عدد إجازاتي المرضية هذا العام؟","يمكنك الاستعلام عن عدد الإجازات المرضية لهذا العام من خلال الدخول على بوابة الخدمة الذاتية واختيار أيقونة الإجازات، ثم الضغط على ""استعلام رصيد الإجازات"" المتوفر ضمن الخدمات. ستظهر لك تفاصيل رصيد الإجازات وأنواعها، بما فيها الإجازات المرضية الممنوحة والمتبقية لهذا العام.

المصدر: [الأسئلة الشائعة]","success","3170","2026-03-30T07:05:23.316Z",""
"20","استعلامات","ابغى أتذكر إذا أخذت إجازة بشهر فبراير أو لا؟","لا يمكنني الإجابة على هذا السؤال لأنه غير مغطى ضمن المعلومات المتاحة لدي.","success","2658","2026-03-30T07:05:27.986Z",""
"21","بوابة","وش صندوق الوارد في البوابة وشلون أستخدمه؟","Sorry, I encountered an error. Please try again.","success","2145","2026-03-30T07:05:32.143Z",""
"22","طلبات","كيف أشوف طلباتي السابقة اللي قدمتها؟","Sorry, I encountered an error. Please try again.","success","3159","2026-03-30T07:05:37.314Z",""
"23","انتداب","ليش ما أقدر أعدل وسيلة السفر في طلب الانتداب؟","Sorry, I encountered an error. Please try again.","success","2689","2026-03-30T07:05:42.014Z",""
"24","انتداب","وش الحقول الإلزامية اللي لازم أدخلها في طلب الإفادة عن الانتداب؟","Sorry, I encountered an error. Please try again.","success","4194","2026-03-30T07:05:48.221Z",""
"25","انتداب","إذا حفظت طلب انتداب هل ينزل مباشرة لشؤون الموظفين؟","لا، بعد حفظ طلب الانتداب يجب الضغط على أيقونة “إرسال” حتى يصل الطلب لشؤون الموظفين.

المصدر: [الأسئلة الشائعة]","success","3175","2026-03-30T07:05:53.406Z",""
"26","إعارة","كم أقصى مدة للإعارة في النظام؟","Sorry, I encountered an error. Please try again.","success","2147","2026-03-30T07:05:57.565Z",""
"27","شكاوى","هل أقدر أقدم شكوى في البوابة وكيف؟","يمكنك تقديم شكوى عبر البوابة من خلال الخطوات التالية:
يمكن للمستخدمين تسجيل الشكاوى المتعلقة بالخدمات المقدمة عبر البوابة من خلال الذهاب إلى خيار (تقديم شكوى) الموجود غالباً ضمن قسم الدعم أو التواصل. يجب عليك تعبئة النموذج الخاص بالشكوى وتوضيح تفاصيل المشكلة أو الملاحظة ثم إرسال الطلب عبر البوابة لمتابعة حالة الشكوى فيما بعد.

المصدر: [الأسئلة الشائعة]","success","3688","2026-03-30T07:06:03.265Z",""
"28","اقتراحات","وين ألقى شاشة تسجيل الاقتراحات للموظفين؟","Sorry, I encountered an error. Please try again.","success","2148","2026-03-30T07:06:07.425Z",""
"29","إجازات","وش الفرق بين الإجازة الاستثنائية والإجازة الدراسية؟","Sorry, I encountered an error. Please try again.","success","2675","2026-03-30T07:06:12.111Z",""
