"ID","Category","Question","Answer","Status","ResponseTimeMs","Timestamp","ErrorMessage"
"1","إجازات","ابغى اعرف كيف اسوي طلب إجازة أمومة من البوابة؟","يمكن تسجيل طلب إجازة أمومة من خلال البوابة عبر الخطوات التالية:

الدخول على البوابة.
من قائمة الطلبات، اختر ""طلبات الإجازة"".
اضغط على ""إضافة طلب جديد"".
اختر نوع الإجازة ""إجازة أمومة"".
أدخل التفاصيل المطلوبة مثل تاريخ بدء الإجازة ومدة الإجازة وأي مرفقات مطلوبة.
اضغط على ""إرسال"" لحفظ الطلب وإرساله للموافقة.

المصدر: [الأسئلة الشائعة]","success","5177","2026-03-15T15:20:20.765Z",""
"2","إجازات","وش الفرق بين إجازة الوضع وإجازة الأمومة؟","إجازة الوضع هي إجازة تستحقها الموظفة عند الولادة، مدتها سبعين يوماً بكامل الراتب، ويمكن توزيعها حسب رغبة الموظفة بحيث تبدأ بحد أقصى 28 يوماً قبل التاريخ المتوقع للولادة ويحدد بوجود شهادة طبية.

أما إجازة الأمومة، فهي إجازة تمنح بعد نهاية إجازة الوضع، وتكون لمدة ثلاث سنوات كحد أقصى طوال فترة الخدمة وبربع الراتب، بشرط أن تكون خلال الثلاث سنوات الأولى من عمر الطفل، ولا يقل ما يصرف للموظفة خلالها عن 1500 ريال شهرياً. هذه الإجازة تهدف لتفرغ الموظفة لرعاية مولودها بعد انتهاء إجازة الوضع.

المصدر: [دليل المستخدم] - HRSD-Regulations.pdf","success","6221","2026-03-15T15:20:29.040Z",""
"3","إجازات","كيف أقدم على إجازة وضع إذا كان موعد الولادة محدد؟","يمكن تسجيل طلب إجازة أمومة/وضع من خلال الدخول على الخدمة الذاتية في الموارد البشرية ثم النقر على أيقونة ""طلب إجازة"" واختيار نوع الإجازة (إجازة وضع)، ثم إدخال تاريخ بداية ونهاية الإجازة حسب ما هو محدد في تقرير المستشفى لموعد الولادة، وإرفاق التقرير الطبي، ثم النقر على إرسال الطلب ليتم اعتماده من قبل الرئيس المباشر.

المصدر: [الأسئلة الشائعة]","success","4041","2026-03-15T15:20:35.140Z",""
"4","إجازات","طلعت إجازة وضع ولدت قبل الموعد وش أسوي؟","يمكنك تسجيل طلب إجازة وضع. الخطوات:

الدخول الى رابط تقديم طلب اجازة
الضغط على زر جديد
اختيار نوع الاجازة: إجازة وضع
تعبئة الخانات والحفظ
تحميل المستندات

المصدر: [الأسئلة الشائعة]","success","4632","2026-03-15T15:20:41.842Z",""
"5","إجازات","أبي أعرف كيف أرفع مستندات إجازة الأمومة بعد ما سجلت الطلب؟","يمكنك رفع مستندات إجازة الأمومة باتباع الخطوات التالية:

الدخول إلى رابط تقديم طلب إجازة.
الضغط على زر ""جديد"".
اختيار نوع الإجازة: ""إجازة أمومة"".
تعبئة الخانات المطلوبة وحفظ الطلب.
بعد ذلك يمكنك تحميل المستندات من خلال نفس شاشة الطلب.

المصدر: [الأسئلة الشائعة]","success","5147","2026-03-15T15:20:49.045Z",""
"6","إجازات","كم مدة إجازة الوضع في النظام؟","مدة إجازة الوضع في النظام هي سبعين (70) يوماً بكامل الراتب، وتوزعها الموظفة كيف تشاء، وتبدأ بحد أقصى بثمانية وعشرين يوماً قبل التاريخ المرجح للوضع، ويتم تحديد التاريخ المرجح للوضع بموجب شهادة طبية مصدقة من جهة صحية.

المصدر: [دليل المستخدم] - HRSD-Regulations.pdf","success","5176","2026-03-15T15:20:56.265Z",""
"7","إجازات","هل تنحسب إجازة الوضع براتب كامل ولا لا؟","تستحق الموظفة إجازة وضع بكامل الراتب ومدتها سبعين يوماً، وتوزعها كيف تشاء، وتبدأ بحد أقصى بثمانية وعشرين يوماً قبل التاريخ المرجح للوضع، ويتم تحديد التاريخ المرجح للوضع بموجب شهادة طبية مصدقة من جهة صحية.

المصدر: [دليل المستخدم] - hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf","success","5136","2026-03-15T15:21:03.444Z",""
"8","استعلامات","ابغى أتأكد من رصيد إجازاتي من البوابة كيف الطريقة؟","الخطوات:
من رابط الاستعلامات

استعلامات الطلبات
انتقل إلى شاشة بيانات الإجازات في البوابة
اختر من القائمة المنسدلة نوع الإجازة المراد الاستعلام عن رصيدها (مثل الإجازة العادية، المرضية، الاستثنائية...)
أدخل التاريخ في حقل ""حتى تاريخ"" (يظهر هذا الحقل لمعظم أنواع الإجازات باستثناء الإجازة الاضطرارية)
اضغط على زر ""بحث""
سيعرض النظام الرصيد المتبقي من نوع الإجازة المحدد.

المصدر: [الأسئلة الشائعة]","success","4108","2026-03-15T15:21:09.601Z",""
"9","إجازات","ليش النظام رفض حفظ الإجازة يقول الرصيد ما يكفي؟","يظهر هذا التنبيه عادة عندما لا يكون لديك رصيد إجازات كافٍ لتقديم هذا الطلب. يجب التأكد من رصيد إجازاتك قبل حفظ الطلب، ويمكنك الاستعلام عن رصيد الإجازات الخاص بك من خلال النظام.

المصدر: [الأسئلة الشائعة]","success","4623","2026-03-15T15:21:16.275Z",""
"10","إجازات","كم عدد أيام الإجازة العادية المسموحة بالسنة؟","يستحق الموظف إجازة عادية مدتها (ستة وثلاثون) يوماً عن كل سنة من سنوات خدمته براتب كامل حسب آخر راتب تقاضاه. كما يجوز للموظف، وفق ضوابط معينة، التمتع برصيده من الإجازات العادية المستحقة له بما لا يتجاوز (مائة وثمانية) أيام خلال السنة، ويستثنى من ذلك من بلغت خدمته المحسوبة لغرض التقاعد (خمسة وعشرين) عاماً فأكثر أو بلغ من العمر (خمسين) عاماً فأكثر فيجوز له التمتع بما لا يتجاوز (مائة وأربعة وأربعين) يوماً خلال السنة.

المصدر: [دليل المستخدم] - hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf","success","7320","2026-03-15T15:21:25.634Z",""
