"ID","Category","Question","Answer","Status","ResponseTimeMs","Timestamp","ErrorMessage"
"1","إجازات","ابغى اعرف كيف اسوي طلب إجازة أمومة من البوابة؟","يمكن تسجيل طلب إجازة أمومة.
الخطوات:

الدخول الى رابط تقديم طلب اجازة
الضغط على زر جديد
اختيار نوع الاجازة: إجازة أمومة
تعبئة الخانات والحفظ
تحميل المستندات

المصدر: [الأسئلة الشائعة]","success","8100","2026-03-20T05:10:54.682Z",""
"2","إجازات","وش الفرق بين إجازة الوضع وإجازة الأمومة؟","إجازة الوضع هي إجازة تمنح للموظفة لمدة سبعين (70) يوماً بكامل الراتب، وتستطيع توزيعها كما تشاء وتبدأ بحد أقصى 28 يوماً قبل التاريخ المرجح للولادة، مع تقديم شهادة طبية مصدقة للتاريخ المرجح.

أما إجازة الأمومة فهي إجازة إضافية يمكن للموظفة الحصول عليها بعد نهاية إجازة الوضع للتفرغ لرعاية المولود، ومدتها القصوى ثلاث سنوات طوال الخدمة الوظيفية وتكون بربع الراتب، بشرط ألا يقل ما يصرف عن 1500 ريال شهريًا، ويتم منحها خلال الثلاث سنوات الأولى من عمر الطفل وفق ضوابط معينة.

باختصار:

إجازة الوضع = قبل وبعد الولادة مباشرة، سبعين يوماً، بكامل الراتب.
إجازة الأمومة = بعد إجازة الوضع، لتربية الطفل حتى 3 سنوات بحد أقصى، بربع الراتب.

المصدر: [دليل المستخدم] - HRSD-Regulations.pdf","success","7273","2026-03-20T05:11:03.976Z",""
"3","إجازات","كيف أقدم على إجازة وضع إذا كان موعد الولادة محدد؟","يمكن تسجيل طلب إجازة وضع إذا تم تحديد موعد الولادة من خلال الخطوات التالية:

الدخول إلى رابط تقديم طلب إجازة
الضغط على زر جديد
اختيار نوع الإجازة: إجازة وضع
تسجيل التاريخ المتوقع للولادة
تعبئة الخانات والحفظ
تحميل المستندات

المصدر: [الأسئلة الشائعة]","success","4160","2026-03-20T05:11:10.166Z",""
"4","إجازات","طلعت إجازة وضع ولدت قبل الموعد وش أسوي؟","في حال ولادة العاملة قبل الموعد المتوقع، تبدأ إجازة الوضع من تاريخ الولادة الفعلي وليس من التاريخ المحدد مسبقًا. يجب عليك تقديم ما يثبت تاريخ الولادة (عادة تقرير طبي) ليتم احتساب إجازة الوضع بدءًا من هذا التاريخ.

المصدر: [دليل المستخدم] - HRSD-Regulations.pdf","success","3139","2026-03-20T05:11:15.321Z",""
"5","إجازات","أبي أعرف كيف أرفع مستندات إجازة الأمومة بعد ما سجلت الطلب؟","يمكنك رفع مستندات إجازة الأمومة بعد تسجيل الطلب من خلال الخطوات التالية:

الدخول الى رابط تقديم طلب اجازة.
الضغط على زر جديد.
اختيار نوع الاجازة: إجازة أمومة.
تعبئة الخانات والحفظ.
تحميل المستندات.

المصدر: [الأسئلة الشائعة]","success","4165","2026-03-20T05:11:21.498Z",""
"6","إجازات","كم مدة إجازة الوضع في النظام؟","تستحق الموظفة إجازة وضع بكامل الراتب مدتها (سبعين) يوماً توزعها كيف تشاء، تبدأ بحد أقصى بثمانية وعشرين يوماً قبل التاريخ المرجح للوضع، ويحدد التاريخ المرجح للوضع بموجب شهادة طبية مصدقة من جهة صحية.

المصدر: [دليل المستخدم] - HRSD-Regulations.pdf","success","5189","2026-03-20T05:11:28.701Z",""
"7","إجازات","هل تنحسب إجازة الوضع براتب كامل ولا لا؟","تستحق الموظفة إجازة وضع بكامل الراتب ومدتها (سبعون) يوماً توزعها كيف تشاء، وتبدأ بحد أقصى بثمانية وعشرين يوماً قبل التاريخ المرجح للوضع ويتم تحديده بشهادة طبية مصدقة من جهة صحية.

المصدر: [دليل المستخدم] - hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf","success","4168","2026-03-20T05:11:34.881Z",""
"8","استعلامات","ابغى أتأكد من رصيد إجازاتي من البوابة كيف الطريقة؟","الخطوات:
من رابط الاستعلامات

استعلامات الطلبات
انتقل إلى شاشة بيانات الإجازات في البوابة
اختر من القائمة المنسدلة نوع الإجازة المراد الاستعلام عن رصيدها (مثل الإجازة العادية، المرضية، الاستثنائية...)
أدخل التاريخ في حقل ""حتى تاريخ"" (يظهر هذا الحقل لمعظم أنواع الإجازات باستثناء الإجازة الاضطرارية)
اضغط على زر ""بحث""
سيعرض النظام الرصيد المتبقي من نوع الإجازة المحدد.

المصدر: [الأسئلة الشائعة]","success","4164","2026-03-20T05:11:41.057Z",""
"9","إجازات","ليش النظام رفض حفظ الإجازة يقول الرصيد ما يكفي؟","يظهر هذا السبب عند محاولة تسجيل إجازة في حال كان رصيدك المتوفر أقل من عدد أيام الإجازة المطلوبة. في هذه الحالة يجب التأكد من رصيد الإجازة المتوفر لديك قبل تقديم الطلب، أو تعديل عدد الأيام المطلوبة ليتوافق مع رصيدك الحالي.

المصدر: [الأسئلة الشائعة]","success","2634","2026-03-20T05:11:45.703Z",""
"10","إجازات","كم عدد أيام الإجازة العادية المسموحة بالسنة؟","مدة الإجازة العادية هي (36) يوماً في السنة بشرط أن تكون بحد أدنى خمسة أيام وبحد أقصى (36) يوماً في السنة.

المصدر: [دليل المستخدم] - HRSD-Regulations.pdf","success","2635","2026-03-20T05:11:50.350Z",""
"11","إجازات","وش سالفة الإجازة الاضطرارية كم يوم وكم راتبها؟","الإجازة الاضطرارية هي إجازة براتب كامل يُسمح للموظف بها في حال عدم توفر رصيد من الإجازة العادية، وتكون لمدة أقصاها خمسة أيام خلال السنة المالية الواحدة، وذلك لأسباب اضطرارية وبعد موافقة الرئيس المباشر للموظف.

المصدر: [دليل المستخدم] - hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf","success","5688","2026-03-20T05:11:58.049Z",""
"12","بطاقة موظف","كيف أضيف مرافقين جدد لبطاقتي الوظيفية؟","لإضافة مرافقين جدد لبطاقتك الوظيفية، يمكنك اتباع الخطوات التالية:

الدخول على حسابك في البوابة.
اختيار أيقونة ""أفراد الأسرة"".
اختيار ""إضافة مرافق جديد"".
تعبئة بيانات المرافق المطلوبة (الاسم، رقم الهوية، صلة القرابة، إلخ).
الضغط على ""حفظ"".

المصدر: [الأسئلة الشائعة]","success","3156","2026-03-20T05:12:03.216Z",""
"13","بطاقة موظف","وش المستندات المطلوبة لتسجيل مولود جديد؟","يمكن تسجيل طلب إجازة أمومة أو إجازة وضع عبر النظام، ويشترط في الخطوات تحميل المستندات المطلوبة. لكن لم يتم ذكر تفاصيل أسماء المستندات المطلوبة بالتحديد ضمن المعلومات المتاحة.

المصدر: [الأسئلة الشائعة]","success","3653","2026-03-20T05:12:08.881Z",""
